verbo|traducao|exemplo|nivel
die Atomkernspaltung, -en|a fissão nuclear|Die Atomkernspaltung ist ein komplexer Prozess.|B2
der Ausbau (kein Plural)|a expansão, a ampliação|Der Ausbau der Autobahn dauert lange.|B2
die Ausbildung, -en|a formação profissional|Ich mache eine Ausbildung zum Elektriker.|A2
der Ausdruck, -e|a expressão, a impressão|Das ist ein Ausdruck der Freude.|B1
die Aussage, -n|a declaração, a afirmação|Seine Aussage war sehr klar.|B1
die Zufriedenheit (kein Pl.)|a satisfação|Ich bin mit der Arbeit zufrieden.|B1
der Zugang, -e zu D|o acesso a|Ich habe Zugang zum Internet.|B2
der Ausländer, - / die Ausländerin, -nen|o estrangeiro / a estrangeira|Viele Ausländer leben in Deutschland.|A2
das Auslandsstudium (kein Pl.)|o estudo no exterior|Ein Auslandsstudium ist eine tolle Erfahrung.|B1
die Ausstellung, -en|a exposição|Die Ausstellung ist sehr interessant.|A2
der Ausstoß (fast nie Plural)|a emissão|Der CO2-Ausstoß muss reduziert werden.|B2
die Ausnahme, -n|a exceção|Das ist eine Ausnahme von der Regel.|B1
die Aussicht, -en|a vista|Die Aussicht vom Berg ist wunderschön.|B1
die Aussichtsterrasse, -n|o terraço panorâmico|Von der Aussichtsterrasse hat man einen tollen Blick.|B1
der Ausweis, -e|o documento de identidade|Bitte zeigen Sie Ihren Ausweis.|A2
der Auszubildende, -n (Azubi, -s)|o aprendiz|Der Azubi lernt schnell.|A2
das [48;53;152;1272;1672tBaby, -s|o bebê|Das Baby schläft viel.|A1
der Bach, -e|o riacho|Ein kleiner Bach fließt durch den Wald.|B1
der Backofen, -e|o forno (de assar)|Der Backofen ist sehr heiß.|B1
der Badeanzug, -e|o maiô|Sie trägt einen neuen Badeanzug.|B1
die Badewanne, -n|a banheira|Ich nehme gern ein Bad in der Badewanne.|A2
das Badetuch, -er|a toalha de banho|Ich brauche ein großes Badetuch.|B2
das Badezimmer, -|o banheiro|Das Badezimmer ist modern.|A2
BAföG (Bundesausbildungsförderungsgesetz) (kein Plural)|o auxílio estudantil federal (Alemanha)|Viele Studenten beantragen BAföG.|B1
der Bahnhof, -e|a estação de trem|Der Bahnhof ist sehr groß.|A2
der Balkon, -e|a sacada|Die Wohnung hat einen großen Balkon.|A2
das Ballett, -e|o balé|Ich gehe gern ins Ballett.|A1
das Band, -er|a fita, a banda (musical), o volume (de livro);|Das Geschenk ist mit einem Band verpackt.|B2
die Bank, -en|o banco|Ich muss zur Bank gehen.|A1
das Bargeld (kein Pl.)|o dinheiro em espécie|Ich zahle bar, nicht mit Karte.|A2
der Barhocker, -|o banco alto|Wir haben Barhocker in der Küche.|B2
der Bart, -e|a barba|Er hat einen langen Bart.|B1
der Bauer, -n / die Bäuerin, -nen|o agricultor / a agricultora|Der Bauer arbeitet auf dem Feld.|A2
der Baum, -e|a árvore|Der Baum ist sehr alt.|A2
die Baumwolle (kein Pl.)|o algodão|Das T-Shirt ist aus Baumwolle.|B2
der Beamte, -n / die Beamtin, -nen|o funcionário público / a funcionária pública|Der Beamte arbeitet im Rathaus.|A2
der Befürworter, -|o defensor, o apoiador|Er ist ein Befürworter der neuen Regelung.|B2
der Begriff, -e|o conceito, o termo|Das ist ein wichtiger Begriff.|B2
die Behinderung, -en|a deficiência|Sie setzt sich für Menschen mit Behinderung ein.|B1
die Behörde, -n|a autoridade, o órgão público|Ich muss zur Behörde gehen.|B2
der Beitrag, -e|a contribuição, o artigo|Ich habe einen Beitrag gelesen.|B2
die Bekleidung, -en|o vestuário|Ich kaufe neue Bekleidung.|B1
die Belastung, -en|o encargo, a carga, a poluição|Die Umweltbelastung ist hoch.|B2
die Belästigung, -en|o incômodo, o assédio|Die Belästigung ist inakzeptabel.|B2
die Bereitschaft, -en|a disposição, a prontidão|Ich zeige Bereitschaft zur Zusammenarbeit.|B2
der Bereitschaftsdienst, -e|o plantão, o serviço de emergência|Der Arzt hat Bereitschaftsdienst.|B2
der Bereich, -e|a área, o setor|Ich arbeite im Bereich Marketing.|B1
der Bericht, -e|o relatório, a notícia|Ich lese den Bericht in der Zeitung.|A2
die Berichterstattung, -en|a reportagem, a cobertura jornalística|Die Berichterstattung war sehr detailliert.|B2
die Berufsschule, -n|a escola profissional|Er besucht die Berufsschule.|B1
die Berufstätigkeit, -en|a atividade profissional|Sie übt eine Berufstätigkeit aus.|B1
die Beratung, -en|o aconselhamento, a consultoria|Ich brauche eine Beratung.|B1
die Bestätigung, -en|a confirmação|Bitte senden Sie mir eine Bestätigung.|B2
die Bestimmung, -en|a determinação, a disposição (legal);|Die Bestimmungen sind sehr streng.|B1
das Bett, -en|a cama|Ich gehe ins Bett.|A1
die Bevölkerung (fast nie Plural)|a população|Die Bevölkerung wächst schnell.|B1
die Bewerbung, -en|a candidatura|Ich habe eine Bewerbung geschickt.|A2
der Bewerber, - / die Bewerberin, -nen|o candidato / a candidata|Der Bewerber hat gute Qualifikationen.|A2
die Bewilligung, -en|a aprovação, a autorização|Die Bewilligung wurde erteilt.|B2
die Beziehung, -en|a relação|Unsere Beziehung ist sehr gut.|B1
die Bibliothek, -en|a biblioteca|Ich leihe mir Bücher in der Bibliothek aus.|A2
das Bier, -e|a cerveja|Ich trinke gern ein Glas Bier.|A1
der Bikini, -s|o biquíni|Sie trägt einen neuen Bikini.|B1
das Bild, -er|a imagem, o quadro|Das Bild hängt an der Wand.|A2
die Bildung, -en|a educação, a formação|Bildung ist sehr wichtig.|B1
der Bildungsstand, -e|o nível de escolaridade|Sein Bildungsstand ist hoch.|B2
der Bleistift, -e|o lápis|Ich brauche einen Bleistift.|A1
blind|cego/a|Er ist blind geboren.|B1
die Bluse, -n|a blusa|Sie trägt eine schöne Bluse.|A2
die Blüte, -n|a flor (da planta);|Die Blüte des Apfelbaums ist weiß.|B1
der Blumenstrauß, -e|o buquê de flores|Ich habe einen Blumenstrauß bekommen.|B1
der Boden, -|o chão, o solo|Der Boden ist nass.|B2
der Boom, -s|o boom|Es gab einen Boom in der Technologiebranche.|B1
die Börse, -n|a bolsa de valores|Die Börse hat heute geschlossen.|B2
die Botschaft, -en|a mensagem, a embaixada|Ich habe eine wichtige Botschaft.|B1
der Botschafter, - / die Botschafterin, -nen|o embaixador / a embaixatriz|Der Botschafter vertritt sein Land.|B2
das Bonbon, -s|a bala, o bombom|Ich mag Bonbons.|B1
die Brille, -n|os óculos|Ich brauche eine neue Brille.|A1
die Branche, -n|o setor, o ramo (de atividade);|Ich arbeite in der IT-Branche.|B2
die Bratkartoffel, -n|a batata frita (em rodelas);|Ich esse gern Bratkartoffeln.|A1
der Bräutigam, -e|o noivo|Der Bräutigam wartet auf die Braut.|B2
das Brennmaterial, -ien|o combustível|Holz ist ein gutes Brennmaterial.|B2
der Brief, -e|a carta|Ich schreibe einen Brief.|A1
die Briefmarke, -n|o selo|Ich brauche eine Briefmarke.|A1
der Briefträger, -|o carteiro|Der Briefträger bringt die Post.|A1
die Brücke, -n|a ponte|Die Brücke ist sehr lang.|B1
das Brötchen, -|o pãozinho|Ich esse gern ein Brötchen zum Frühstück.|A1
das Buch, -er|o livro|Ich lese gern Bücher.|A1
die Buchhandlung, -en|a livraria|Ich kaufe Bücher in der Buchhandlung.|B1
der Buchstabe, -n|a letra (do alfabeto);|Das Wort hat fünf Buchstaben.|A2
das Buffet, -s|o buffet|Das Frühstücksbuffet ist sehr reichhaltig.|A2
die Bundesbahn, -en|a ferrovia federal (Alemanha);|Ich fahre mit der Bundesbahn.|B1
das Bundesland, -er|o estado federal (da Alemanha);|Bayern ist ein großes Bundesland.|A2
der Bundesbürger, -|o cidadão federal (da Alemanha);|Alle Bundesbürger haben das Wahlrecht.|B1
die Bundeshauptstadt, -e|a capital federal|Berlin ist die Bundeshauptstadt.|B2
die Bundesregierung, -en|o governo federal|Die Bundesregierung hat ein neues Gesetz verabschiedet.|B1
die Bundesstraße, -n|a estrada federal|Die Bundesstraße ist sehr befahren.|B2
der Buntstift, -e|o lápis de cor|Ich male gern mit Buntstiften.|A2
die Burg, -en|o castelo|Die Burg ist sehr alt.|A2
der Bürger, -|o cidadão|Alle Bürger haben Rechte.|B1
die Bürgerinitiative, -n|a iniciativa cidadã|Die Bürgerinitiative setzt sich für die Umwelt ein.|B2
das Büro, -s|o escritório|Mein Büro ist im Zentrum.|A1
der Bus, -se|o ônibus|Ich fahre mit dem Bus zur Arbeit.|A1
das Bußgeld, -er|a multa (de trânsito);|Ich habe ein Bußgeld bekommen.|B2
die Butter (kein Pl.)|a manteiga|Ich esse Brot mit Butter.|A1
das CO2 (das Kohlendioxid, -e)|o CO2 (dióxido de carbono);|Der CO2-Ausstoß ist zu hoch.|B1
der CO2-Ausstoß (fast nie Plural)|a emissão de CO2|Der CO2-Ausstoß muss reduziert werden.|B2
der CO2-Gehalt, -e|o teor de CO2|Der CO2-Gehalt in der Atmosphäre steigt.|B2
die Creme, -s|o creme|Ich benutze eine Gesichtscreme.|B1
die Dame, -n|a dama|Die Dame am Schalter ist sehr freundlich.|B2
das Darlehen, -|o empréstimo|Ich habe ein Darlehen bei der Bank aufgenommen.|B2
die Datei, -n|o arquivo|Ich habe die Datei gespeichert.|B2
die Daten (Plural)|os dados|Die Daten sind sehr wichtig.|B1
das Datennetz, -e|a rede de dados|Das Datennetz ist sehr schnell.|B2
die Dauer (kein Plural)|a duração|Die Dauer des Fluges beträgt zwei Stunden.|B2
die Decke, -n|o cobertor, o teto|Die Decke ist warm.|B1
der Deckel, -|a tampa|Der Deckel der Flasche ist weg.|B1
der Dialekt, -e|o dialeto|Er spricht einen bayerischen Dialekt.|A2
der Diesel, -|o diesel|Mein Auto fährt mit Diesel.|B2
das Ding, -e|a coisa|Das ist ein nützliches Ding.|B1
der Direktor, -en|o diretor|Der Direktor der Schule ist neu.|A2
die Disco, -s (die Discothek, -en)|a discoteca|Wir gehen am Wochenende in die Disco.|A1
die Diskussion, -en|a discussão|Die Diskussion war sehr interessant.|A1
der Doktor, -en|o doutor|Der Doktor kommt gleich.|A2
das Dokument, -e|o documento|Bitte senden Sie mir das Dokument.|A2
der Donner, -|o trovão|Ich höre Donner am Himmel.|B1
doppelt|dobro, duplicado (usado como numeral/adjetivo);|Ich brauche die doppelte Menge.|B1
die Droge, -n|a droga|Drogen sind gefährlich.|B1
die Drogerie, -n|a drogaria|Ich kaufe Seife in der Drogerie.|B1
der Drogenkonsum (kein Pl.)|o consumo de drogas|Der Drogenkonsum ist ein Problem.|B1
dumm|burro/a|Das ist eine dumme Idee.|A2
dunkel|escuro/a|Es ist schon dunkel.|A2
der Durst (kein Plural)|a sede|Ich habe großen Durst.|B1
durstig|sedento/a|Ich bin durstig.|B1
der Durchschnitt, -e|a média|Der Durchschnitt liegt bei 1,5.|B2
der Ehemann, -er|o marido|Mein Ehemann arbeitet viel.|B1
die Ehefrau, -en|a esposa|Meine Ehefrau ist sehr lieb.|B1
das Ehepaar, -e|o casal|Das Ehepaar ist glücklich verheiratet.|B1
die Ehe, -n|o casamento (instituição);|Die Ehe ist eine wichtige Institution.|B1
die Eigenschaften (Plural)|as características|Sie hat viele gute Eigenschaften.|B1
die Eigentumswohnung, -en|o apartamento próprio|Wir haben eine Eigentumswohnung gekauft.|B1
der Eimer, -|o balde|Ich brauche einen Eimer Wasser.|B1
das Einbruch, -e|o arrombamento, o assalto|Es gab einen Einbruch in der Nacht.|B2
die Einheitlichkeit, -en|a uniformidade, a coerência|Die Einheitlichkeit der Regeln ist wichtig.|B2
der Einwohner, -|o habitante|Die Stadt hat viele Einwohner.|B1
das Einwohnermeldeamt, -er|o registro de moradores|Ich muss zum Einwohnermeldeamt gehen.|B2
das Einkommen, -|a renda|Sein Einkommen ist hoch.|B1
die Einreise, -n|a entrada (no país);|Die Einreisebestimmungen sind streng.|B1
die Einladung, -en|o convite|Danke für die Einladung!|A1
die Einwanderung, -en|a imigração|Die Einwanderung hat zugenommen.|B1
der Einsatz, -e|o uso, a intervenção, o empenho|Der Einsatz der Feuerwehr war beeindruckend.|B2
das Einkommen, -|a renda|Sein Einkommen ist hoch.|B1
der Eimer, -|o balde|Ich brauche einen Eimer Wasser.|B1
die Eisenbahn, -en|a ferrovia, o trem|Ich fahre gern mit der Eisenbahn.|B2
die Elektrizität, -en|a eletricidade|Elektrizität ist wichtig für das tägliche Leben.|B1
der Elektromotor, -en|o motor elétrico|Das Auto hat einen Elektromotor.|B1
die Elternzeit, -en|a licença parental|Er nimmt Elternzeit für sein Baby.|B2
der Empfänger, -|o destinatário, o receptor|Wer ist der Empfänger des Pakets?|B1
die Empfehlung, -en|a recomendação|Ich habe eine Empfehlung von meinem Arzt bekommen.|B1
die Endung, -en|a terminação (gramatical);|Die Endung des Verbs ist -en.|B1
die Endstation, -en|a estação final|Das ist die Endstation dieser Linie.|B1
die Ente, -n|o pato|Die Ente schwimmt auf dem See.|B1
die Entlassung, -en|a demissão, a dispensa|Die Entlassung war unerwartet.|B1
die Entschuldigung, -en|a desculpa|Ich bitte um Entschuldigung.|B1
die Entwicklung, -en|o desenvolvimento|Die Entwicklung der Technik ist schnell.|B1
die Erde, -n|a Terra, o solo|Die Erde ist ein Planet.|B1
die Erdatmosphäre, -n|a atmosfera terrestre|Die Erdatmosphäre schützt uns.|B1
die Einreise, -n|a entrada (no país);|Die Einreisebestimmungen sind streng.|B1
die Einladung, -en|o convite|Danke für die Einladung!|A1
die Einwanderung, -en|a imigração|Die Einwanderung hat zugenommen.|B1
der Einsatz, -e|o uso, a intervenção, o empenho|Der Einsatz der Feuerwehr war beeindruckend.|B2
das Einkommen, -|a renda|Sein Einkommen ist hoch.|B1
der Eimer, -|o balde|Ich brauche einen Eimer Wasser.|B1
die Eisenbahn, -en|a ferrovia, o trem|Ich fahre gern mit der Eisenbahn.|B2
die Elektrizität, -en|a eletricidade|Elektrizität ist wichtig für das tägliche Leben.|B1
der Elektromotor, -en|o motor elétrico|Das Auto hat einen Elektromotor.|B1
die Elternzeit, -en|a licença parental|Er nimmt Elternzeit für sein Baby.|B2
der Empfänger, -|o destinatário, o receptor|Wer ist der Empfänger des Pakets?|B1
die Empfehlung, -en|a recomendação|Ich habe eine Empfehlung von meinem Arzt bekommen.|B1
die Endung, -en|a terminação (gramatical);|Die Endung des Verbs ist -en.|B1
die Endstation, -en|a estação final|Das ist die Endstation dieser Linie.|B1
die Ente, -n|o pato|Die Ente schwimmt auf dem See.|B1
die Entlassung, -en|a demissão, a dispensa|Die Entlassung war unerwartet.|B1
die Entschuldigung, -en|a desculpa|Ich bitte um Entschuldigung.|B1
die Entwicklung, -en|o desenvolvimento|Die Entwicklung der Technik ist schnell.|B1
die Erde, -n|a Terra, o solo|Die Erde ist ein Planet.|B1
die Erdatmosphäre, -n|a atmosfera terrestre|Die Erdatmosphäre schützt uns.|B1
die Fähre, -n|a balsa|Wir fahren mit der Fähre über den See.|B2
die Familie, -n|a família|Meine Familie ist klein.|A1
der Familienstand (kein Plural)|o estado civil|Bitte geben Sie Ihren Familienstand an.|B1
die Farbe, -n|a cor|Welche Farbe magst du?|A2
das Fax, -e|o fax|Ich habe ein Fax bekommen.|A2
das Faxgerät, -e|o aparelho de fax|Das Faxgerät ist kaputt.|A2
die Feder, -n|a pena|Die Feder ist leicht.|B2
die Feier, -n|a festa, a celebração|Die Feier war sehr schön.|A2
der Feierabend (meist kein Plural)|o fim do expediente|Ich freue mich auf den Feierabend.|B2
der Feiertag, -e|o feriado|Morgen ist ein Feiertag.|A2
der Feind, -e|o inimigo|Er hat viele Feinde.|B1
das Feld, -er|o campo|Die Kühe grasen auf dem Feld.|B1
das Fenster, -|a janela|Bitte schließ das Fenster.|A1
die Ferien (Pl.)|as férias|Ich fahre in den Ferien weg.|A2
der Fernseher, -|a televisão|Der Fernseher ist neu.|A1
das Fernsehen (kein Plural)|a televisão (programa, meio de comunicação)|Ich schaue gern Fernsehen.|A1
das Festival, -s|o festival|Das Festival findet im Sommer statt.|A2
der Filzstift, -e|a caneta hidrográfica, o marcador|Ich brauche einen Filzstift.|B2
der Film, -e|o filme|Ich möchte einen Film sehen.|A1
der Filter, -|o filtro|Der Filter muss gewechselt werden.|B2
die Finanzen (immer Plural!)|as finanças|Ich muss meine Finanzen besser verwalten.|B1
die Finanzierung, -en|o financiamento|Die Finanzierung des Projekts ist gesichert.|B1
der Finger, -|o dedo|Ich habe mir den Finger verletzt.|A2
die Firma, die Firmen|a empresa|Ich arbeite für eine große Firma.|A2
die Fitness (kein Pl.)|a forma física|Sport ist gut für die Fitness.|A2
die Flasche, -n|a garrafa|Bitte gib mir die Flasche Wasser.|A1
das Fleisch (kein Pl.)|a carne|Ich esse gern Fleisch.|A1
der Flieger, -|o avião (coloquial)|Der Flieger landet gleich.|A2
der Flug, -e|o voo|Mein Flug geht nach Berlin.|A1
der Flughafen, -|o aeroporto|Wir fahren zum Flughafen.|A1
das Flugzeug, -e|o avião|Das Flugzeug fliegt hoch.|A1
die Flusspferd, -e|o hipopótamo|Das Flusspferd lebt in Afrika.|B1
der Fluss, -e|o rio|Der Fluss ist sehr lang.|A2
die Förderung, -en|o fomento, o apoio|Die Förderung der Bildung ist wichtig.|B1
die Folge, -n|a consequência, o episódio|Das ist die Folge deiner Entscheidung.|B1
das Formular, -e|o formulário|Bitte füllen Sie das Formular aus.|A1
die Forschung, -en|a pesquisa|Die Forschung ist sehr wichtig.|B1
das Foto, -s|a foto|Ich zeige dir meine Fotos.|A1
der Fotograf, -en|o fotógrafo|Der Fotograf macht schöne Bilder.|A1
die Frage, -n|a pergunta|Ich habe eine Frage.|A1
die Freiheit, -en|a liberdade|Wir kämpfen für die Freiheit.|B1
die Fremdsprache, -n|a língua estrangeira|Ich lerne eine Fremdsprache.|A2
das Fremdwort, -er|a palavra estrangeira|Viele Fremdwörter sind im Deutschen gebräuchlich.|B1
der Freund, -e / die Freundin, -nen|o amigo / a amiga, o namorado / a namorada|Das ist mein Freund Peter.|A1
die Freundschaft, -en|a amizade|Unsere Freundschaft ist sehr wichtig.|A2
der Friede, -n|a paz|Wir wünschen uns Frieden.|B1
frisch|fresco/a|Das Brot ist frisch.|A1
der Friseur, -e / die Friseuse, -n|o cabeleireiro / a cabeleireira|Ich gehe zum Friseur.|A1
der Frühling, -e|a primavera|Im Frühling blühen die Blumen.|A2
das Frühstück, -e|o café da manhã|Ich esse mein Frühstück um 7 Uhr.|A1
die Frucht, -e|a fruta|Früchte sind gesund.|B1
der Füller, -|a caneta-tinteiro|Ich schreibe mit einem Füller.|B1
der Fuß, -e|o pé|Mir tut der Fuß weh.|A2
der Fußball, -e|o futebol|Ich spiele gern Fußball.|A1
die Fußgängerzone, -n|a zona de pedestres|Die Fußgängerzone ist sehr belebt.|A2
der Funkspruch, -e|a mensagem de rádio|Der Funkspruch kam über Funk.|B2
die Funktion, -en|a função|Die Funktion des Geräts ist einfach.|A2
das Fundbüro, -s|o achados e perdidos|Ich habe mein Handy im Fundbüro abgegeben.|B1
die Gabel, -n|o garfo|Wo ist meine Gabel?|A2
die Galerie, -n|a galeria|Wir besuchen eine Kunstgalerie.|B1
der Gang, -e|o corredor, a marcha (de carro);|Der Gang ist lang und dunkel. |B1
die Gans, -e|o ganso|Die Gans schwimmt auf dem Teich. |B1
die Garderobe, -n|o guarda-roupa, o vestiário|Hängen Sie Ihren Mantel in die Garderobe. |B1
die Garage, -n|a garagem|Mein Auto steht in der Garage. |A2
der Gast, -e|o convidado|Wir haben Gäste heute Abend. |A2
das Gästezimmer, -|o quarto de hóspedes|Wir haben ein Gästezimmer für Besucher. |B1
die Gaststätte, -n|o restaurante, a taverna|Die Gaststätte serviert traditionelle Gerichte. |B1
die Gastwirtschaft, -en|a pousada com restaurante|Die Gastwirtschaft ist sehr gemütlich. |B1
der Gatte, -n / die Gattin, -nen|o cônjuge (esposo/esposa);|Ihr Gatte ist sehr freundlich. |B2
das Gebäude, -|o edifício|Das Gebäude ist sehr alt. |B1
das Gebirge, -|a cadeia de montanhas|Die Alpen sind hohe Berge. |A2
die Gebrauchsanweisung, -en|o manual de instruções|Bitte lesen Sie die Gebrauchsanweisung. |B1
das Gedicht, -e|o poema|Sie schreibt gerne Gedichte. |B2
der Gedanke, -n|o pensamento, a ideia|Ich hatte einen guten Gedanken. |B1
das Geflügel (kein Pl.)|a ave (para consumo);|Ich esse gern Geflügel. |B2
das Gefühl, -e|o sentimento|Ich habe ein gutes Gefühl. |A2
der Gegner, -|o adversário|Unser Gegner war sehr stark. |B1
die Gegend, -en|a região, os arredores|Die Gegend ist sehr schön. |B1
das Gehalt, -er|o salário|Mein Gehalt ist gut. |A2
die Gemeinde, -n|o município, a comunidade|Die Gemeinde hat viele Einwohner. |B2
die Gemeinsamkeit, -en|a característica em comum, a afinidade|Wir haben viele Gemeinsamkeiten.|B1
die Gemeinschaft, -en|a comunidade|Wir sind eine große Gemeinschaft.|B1
das Gemälde, -|a pintura, o quadro|Das Gemälde ist sehr alt.|B2
das Gemüse (kein Pl.)|o legume, a verdura|Ich esse gern Gemüse.|A1
die Genehmigung, -en|a permissão, a autorização|Ich habe die Genehmigung erhalten.|B2
genug|suficiente|Ich habe genug Geld.|A2
die Geographie (kein Plural)|a geografia|Geographie ist ein interessantes Fach.|B1
das Gepäck (kein Pl.)|a bagagem|Ich habe viel Gepäck.|A2
die Gepäckannahme, -n|a retirada de bagagem|Bitte gehen Sie zur Gepäckannahme.|B1
die Gepäckaufbewahrung, -en|o guarda-volumes|Ich lasse mein Gepäck in der Gepäckaufbewahrung.|B2
gerecht|justo/a|Das ist eine gerechte Lösung.|B1
die Gerechtigkeit (kein Plural)|a justiça|Gerechtigkeit ist wichtig für die Gesellschaft.|B1
das Gericht, -e|o tribunal, o prato (culinário);|Das Gericht hat entschieden.|B1
gern|com prazer|Ich helfe dir gern.|A1
das Geräusch, -e|o ruído|Ich höre ein Geräusch.|B1
die Gesellschaft, -en|a sociedade, a companhia|Die Gesellschaft verändert sich.|B1
das Geschenk, -e|o presente|Ich habe ein Geschenk bekommen.|A2
die Geschichte, -n|a história|Ich lese gern Geschichten.|B1
das Geschirr (kein Pl.)|a louça|Ich muss das Geschirr spülen.|B1
der Geschirrspüler, -|a máquina de lavar louça|Der Geschirrspüler ist kaputt.|A2
das Geschirrtuch, -er|o pano de prato|Ich brauche ein Geschirrtuch zum Abtrocknen.|B1
das Geschlecht, -er|o sexo, o gênero|Bitte geben Sie Ihr Geschlecht an.|B1
die Geschwister (nur Plural)|os irmãos e irmãs|Ich habe drei Geschwister.|B1
das Gesicht, -er|o rosto|Sie hat ein schönes Gesicht.|B1
das Gesetz, -e|a lei|Das ist ein neues Gesetz.|B1
das Geschehen, -|o acontecimento|Das ist ein wichtiges Geschehen.|B1
das Geschehnis, -se|o acontecimento, o incidente|Das war ein unerwartetes Geschehnis.|B2
das Gesundheitswesen (kein Plural)|o sistema de saúde|Das Gesundheitswesen ist sehr komplex.|B2
das Getränk, -e|a bebida|Was möchten Sie trinken?|A1
das Gewässer, -|o corpo d'água (rio, lago, etc.);|In diesem Gewässer leben viele Fische.|B2
das Gewicht, -e|o peso|Sein Gewicht ist stabil.|B1
der Gewinn, -e|o lucro, o ganho|Die Firma hat einen hohen Gewinn gemacht.|B1
das Gewitter, -|a tempestade|Es gab ein starkes Gewitter.|B1
das Gewürz, -e|o tempero|Ich brauche Gewürze zum Kochen.|B1
die Gewohnheit, -en|o hábito|Ich habe viele gute Gewohnheiten.|B1
das Gift, -e|o veneno|Das ist Gift.|B1
der Giftstoff, -e|a substância tóxica|Dieser Stoff ist ein Giftstoff.|B2
der Gipfel, -|o cume, a cúpula (reunião);|Wir haben den Gipfel erreicht.|B2
die Glühbirne, -n|a lâmpada (bulbo);|Die Glühbirne ist kaputt.|B2
das Glatteis (kein Plural)|o gelo negro|Vorsicht, es gibt Glatteis auf der Straße!|B2
der Globus, die Globen (auch Globusse)|o globo terrestre|Wir haben einen großen Globus im Wohnzimmer.|B1
der Gottesdienst, -e|o serviço religioso, o culto|Wir gehen jeden Sonntag zum Gottesdienst.|B2
die Grafik, -en|o gráfico, a imagem gráfica|Die Grafik zeigt die Entwicklung der Zahlen.|B1
der Grieß (fast nie Pl.)|a sêmola|Ich koche Grießbrei zum Frühstück.|B2
der Grill, -s|a churrasqueira, o grill|Wir machen ein Grillfest im Garten.|A2
der Groschen, -|o "groschen" (antiga moeda), o dinheiro (coloquial);|Hast du einen Groschen für mich?|C1
die Großfamilie, -n|a família grande|In vielen Kulturen leben Großfamilien zusammen.|B1
das Grundgesetz, -e|a Lei Fundamental (constituição alemã);|Das Grundgesetz schützt unsere Rechte.|B1
der Grund, -e|o motivo, a razão|Nenn mir einen guten Grund!|B1
die Grundlage, -n|a base, o fundamento|Das ist die Grundlage unserer Zusammenarbeit.|B2
das Grundwasser (kein Plural)|a água subterrânea|Das Grundwasser ist sehr wichtig für die Trinkwasserversorgung.|B1
die Gruppe, -n|o grupo|Wir arbeiten in einer Gruppe.|A1
der Gurt, -e|o cinto (de segurança);|Bitte legen Sie den Gurt an.|B2
das Gymnasium, die Gymnasien|o ginásio (escola secundária);|Er besucht ein Gymnasium.|A2
die Gymnastik, -en|a ginástica|Ich mache gern Gymnastik.|A1
das Haar, -e|o cabelo|Sie hat lange blonde Haare.|A1
der Hafen, -e|o porto|Der Hafen ist sehr groß.|B1
der Halt, -e|a parada, o apoio|Dieser Bus hat hier keinen Halt.|B1
die Haltestelle, -n|a parada (de ônibus, bonde);|Die Haltestelle ist gleich um die Ecke.|A2
die Halbpension, -en|a meia-pensão|Wir haben Halbpension gebucht.|B1
der Handtuch, -er|a toalha de mão|Ich brauche ein Handtuch.|A2
das Handwerk (kein Pl.)|o artesanato, o ofício|Das Handwerk hat goldenen Boden.|B2
der Handwerker, -|o artesão, o profissional manual|Der Handwerker repariert das Dach.|B1
das Handy, -s|o celular|Ich habe ein neues Handy.|A2
der Hase, -n|a lebre|Der Hase rennt schnell.|B1
der Haushalt, -e|o orçamento doméstico, a casa|Ich mache den Haushalt.|B2
das Haupt, -er|a cabeça (formal, poético);|Er hob sein Haupt.|B2
der Hauptbahnhof, -e|a estação central de trem|Wir treffen uns am Hauptbahnhof.|A2
der Haupteingang, -e|a entrada principal|Der Haupteingang ist geschlossen.|B2
die Hauptrolle, -n|o papel principal|Sie spielt die Hauptrolle im Film.|B2
die Hauptschule, -n|a escola secundária (tipo específico na Alemanha)|Er geht auf die Hauptschule.|A2
die Hauptstraße, -n|a rua principal|Die Hauptstraße ist sehr befahren.|A2
das Haustier, -e|o animal de estimação|Ich habe ein Haustier.|B1
die Heimat, -en|a pátria, o lar|Meine Heimat ist Deutschland.|B1
das Heimweh (kein Plural)|a saudade de casa|Ich habe Heimweh.|B1
heiß|quente|Der Kaffee ist heiß.|A1
die Heizung, -en|o aquecimento|Die Heizung ist kaputt.|A2
hell|claro/a, brilhante|Das Zimmer ist sehr hell.|A2
die Helligkeit, -en|a claridade, o brilho|Die Helligkeit des Bildschirms ist zu hoch.|B2
das Hemd, -en|a camisa|Ich trage ein Hemd.|A2
der Herd, -e|o fogão|Der Herd ist neu.|A1
die Herdplatte, -n|o bico do fogão|Die Herdplatte ist heiß.|A2
der Hering, -e|o arenque|Ich esse gern Hering.|B2
der Herr, -en|o senhor|Guten Tag, Herr Müller.|A1
der Herbst, -e|o outono|Im Herbst fallen die Blätter.|A1
die Hilfe, -n|a ajuda|Danke für deine Hilfe.|B1
der Himmel, -|o céu|Der Himmel ist blau.|B1
die Himmelsrichtung, -en|o ponto cardeal|Norden ist eine Himmelsrichtung.|B1
die Hintertür, -en|a porta dos fundos|Der Einbrecher kam durch die Hintertür.|B2
die Hinsicht (kein Plural)|o aspecto, o ponto de vista|In dieser Hinsicht stimme ich dir zu.|B2
