traducao|verbo|exemplo|nivel
a fissão nuclear|die Atomkernspaltung, -en|Die Atomkernspaltung ist ein komplexer Prozess.|B2
a expansão, a ampliação|der Ausbau (kein Plural)|Der Ausbau der Autobahn dauert lange.|B2
a formação profissional|die Ausbildung, -en|Ich mache eine Ausbildung zum Elektriker.|A2
a expressão, a impressão|der Ausdruck, -e|Das ist ein Ausdruck der Freude.|B1
a declaração, a afirmação|die Aussage, -n|Seine Aussage war sehr klar.|B1
a satisfação|die Zufriedenheit (kein Pl.)|Ich bin mit der Arbeit zufrieden.|B1
o acesso a|der Zugang, -e zu D|Ich habe Zugang zum Internet.|B2
o estrangeiro / a estrangeira|der Ausländer, - / die Ausländerin, -nen|Viele Ausländer leben in Deutschland.|A2
o estudo no exterior|das Auslandsstudium (kein Pl.)|Ein Auslandsstudium ist eine tolle Erfahrung.|B1
a exposição|die Ausstellung, -en|Die Ausstellung ist sehr interessant.|A2
a emissão|der Ausstoß (fast nie Plural)|Der CO2-Ausstoß muss reduziert werden.|B2
a exceção|die Ausnahme, -n|Das ist eine Ausnahme von der Regel.|B1
a vista|die Aussicht, -en|Die Aussicht vom Berg ist wunderschön.|B1
o terraço panorâmico|die Aussichtsterrasse, -n|Von der Aussichtsterrasse hat man einen tollen Blick.|B1
o documento de identidade|der Ausweis, -e|Bitte zeigen Sie Ihren Ausweis.|A2
o aprendiz|der Auszubildende, -n (Azubi, -s)|Der Azubi lernt schnell.|A2
o bebê|das [48;53;152;1272;1672tBaby, -s|Das Baby schläft viel.|A1
o riacho|der Bach, -e|Ein kleiner Bach fließt durch den Wald.|B1
o forno (de assar)|der Backofen, -e|Der Backofen ist sehr heiß.|B1
o maiô|der Badeanzug, -e|Sie trägt einen neuen Badeanzug.|B1
a banheira|die Badewanne, -n|Ich nehme gern ein Bad in der Badewanne.|A2
a toalha de banho|das Badetuch, -er|Ich brauche ein großes Badetuch.|B2
o banheiro|das Badezimmer, -|Das Badezimmer ist modern.|A2
o auxílio estudantil federal (Alemanha)|BAföG (Bundesausbildungsförderungsgesetz) (kein Plural)|Viele Studenten beantragen BAföG.|B1
a estação de trem|der Bahnhof, -e|Der Bahnhof ist sehr groß.|A2
a sacada|der Balkon, -e|Die Wohnung hat einen großen Balkon.|A2
o balé|das Ballett, -e|Ich gehe gern ins Ballett.|A1
a fita, a banda (musical), o volume (de livro);|das Band, -er|Das Geschenk ist mit einem Band verpackt.|B2
o banco|die Bank, -en|Ich muss zur Bank gehen.|A1
o dinheiro em espécie|das Bargeld (kein Pl.)|Ich zahle bar, nicht mit Karte.|A2
o banco alto|der Barhocker, -|Wir haben Barhocker in der Küche.|B2
a barba|der Bart, -e|Er hat einen langen Bart.|B1
o agricultor / a agricultora|der Bauer, -n / die Bäuerin, -nen|Der Bauer arbeitet auf dem Feld.|A2
a árvore|der Baum, -e|Der Baum ist sehr alt.|A2
o algodão|die Baumwolle (kein Pl.)|Das T-Shirt ist aus Baumwolle.|B2
o funcionário público / a funcionária pública|der Beamte, -n / die Beamtin, -nen|Der Beamte arbeitet im Rathaus.|A2
o defensor, o apoiador|der Befürworter, -|Er ist ein Befürworter der neuen Regelung.|B2
o conceito, o termo|der Begriff, -e|Das ist ein wichtiger Begriff.|B2
a deficiência|die Behinderung, -en|Sie setzt sich für Menschen mit Behinderung ein.|B1
a autoridade, o órgão público|die Behörde, -n|Ich muss zur Behörde gehen.|B2
a contribuição, o artigo|der Beitrag, -e|Ich habe einen Beitrag gelesen.|B2
o vestuário|die Bekleidung, -en|Ich kaufe neue Bekleidung.|B1
o encargo, a carga, a poluição|die Belastung, -en|Die Umweltbelastung ist hoch.|B2
o incômodo, o assédio|die Belästigung, -en|Die Belästigung ist inakzeptabel.|B2
a disposição, a prontidão|die Bereitschaft, -en|Ich zeige Bereitschaft zur Zusammenarbeit.|B2
o plantão, o serviço de emergência|der Bereitschaftsdienst, -e|Der Arzt hat Bereitschaftsdienst.|B2
a área, o setor|der Bereich, -e|Ich arbeite im Bereich Marketing.|B1
o relatório, a notícia|der Bericht, -e|Ich lese den Bericht in der Zeitung.|A2
a reportagem, a cobertura jornalística|die Berichterstattung, -en|Die Berichterstattung war sehr detailliert.|B2
a escola profissional|die Berufsschule, -n|Er besucht die Berufsschule.|B1
a atividade profissional|die Berufstätigkeit, -en|Sie übt eine Berufstätigkeit aus.|B1
o aconselhamento, a consultoria|die Beratung, -en|Ich brauche eine Beratung.|B1
a confirmação|die Bestätigung, -en|Bitte senden Sie mir eine Bestätigung.|B2
a determinação, a disposição (legal);|die Bestimmung, -en|Die Bestimmungen sind sehr streng.|B1
a cama|das Bett, -en|Ich gehe ins Bett.|A1
a população|die Bevölkerung (fast nie Plural)|Die Bevölkerung wächst schnell.|B1
a candidatura|die Bewerbung, -en|Ich habe eine Bewerbung geschickt.|A2
o candidato / a candidata|der Bewerber, - / die Bewerberin, -nen|Der Bewerber hat gute Qualifikationen.|A2
a aprovação, a autorização|die Bewilligung, -en|Die Bewilligung wurde erteilt.|B2
a relação|die Beziehung, -en|Unsere Beziehung ist sehr gut.|B1
a biblioteca|die Bibliothek, -en|Ich leihe mir Bücher in der Bibliothek aus.|A2
a cerveja|das Bier, -e|Ich trinke gern ein Glas Bier.|A1
o biquíni|der Bikini, -s|Sie trägt einen neuen Bikini.|B1
a imagem, o quadro|das Bild, -er|Das Bild hängt an der Wand.|A2
a educação, a formação|die Bildung, -en|Bildung ist sehr wichtig.|B1
o nível de escolaridade|der Bildungsstand, -e|Sein Bildungsstand ist hoch.|B2
o lápis|der Bleistift, -e|Ich brauche einen Bleistift.|A1
cego/a|blind|Er ist blind geboren.|B1
a blusa|die Bluse, -n|Sie trägt eine schöne Bluse.|A2
a flor (da planta);|die Blüte, -n|Die Blüte des Apfelbaums ist weiß.|B1
o buquê de flores|der Blumenstrauß, -e|Ich habe einen Blumenstrauß bekommen.|B1
o chão, o solo|der Boden, -|Der Boden ist nass.|B2
o boom|der Boom, -s|Es gab einen Boom in der Technologiebranche.|B1
a bolsa de valores|die Börse, -n|Die Börse hat heute geschlossen.|B2
a mensagem, a embaixada|die Botschaft, -en|Ich habe eine wichtige Botschaft.|B1
o embaixador / a embaixatriz|der Botschafter, - / die Botschafterin, -nen|Der Botschafter vertritt sein Land.|B2
a bala, o bombom|das Bonbon, -s|Ich mag Bonbons.|B1
os óculos|die Brille, -n|Ich brauche eine neue Brille.|A1
o setor, o ramo (de atividade);|die Branche, -n|Ich arbeite in der IT-Branche.|B2
a batata frita (em rodelas);|die Bratkartoffel, -n|Ich esse gern Bratkartoffeln.|A1
o noivo|der Bräutigam, -e|Der Bräutigam wartet auf die Braut.|B2
o combustível|das Brennmaterial, -ien|Holz ist ein gutes Brennmaterial.|B2
a carta|der Brief, -e|Ich schreibe einen Brief.|A1
o selo|die Briefmarke, -n|Ich brauche eine Briefmarke.|A1
o carteiro|der Briefträger, -|Der Briefträger bringt die Post.|A1
a ponte|die Brücke, -n|Die Brücke ist sehr lang.|B1
o pãozinho|das Brötchen, -|Ich esse gern ein Brötchen zum Frühstück.|A1
o livro|das Buch, -er|Ich lese gern Bücher.|A1
a livraria|die Buchhandlung, -en|Ich kaufe Bücher in der Buchhandlung.|B1
a letra (do alfabeto);|der Buchstabe, -n|Das Wort hat fünf Buchstaben.|A2
o buffet|das Buffet, -s|Das Frühstücksbuffet ist sehr reichhaltig.|A2
a ferrovia federal (Alemanha);|die Bundesbahn, -en|Ich fahre mit der Bundesbahn.|B1
o estado federal (da Alemanha);|das Bundesland, -er|Bayern ist ein großes Bundesland.|A2
o cidadão federal (da Alemanha);|der Bundesbürger, -|Alle Bundesbürger haben das Wahlrecht.|B1
a capital federal|die Bundeshauptstadt, -e|Berlin ist die Bundeshauptstadt.|B2
o governo federal|die Bundesregierung, -en|Die Bundesregierung hat ein neues Gesetz verabschiedet.|B1
a estrada federal|die Bundesstraße, -n|Die Bundesstraße ist sehr befahren.|B2
o lápis de cor|der Buntstift, -e|Ich male gern mit Buntstiften.|A2
o castelo|die Burg, -en|Die Burg ist sehr alt.|A2
o cidadão|der Bürger, -|Alle Bürger haben Rechte.|B1
a iniciativa cidadã|die Bürgerinitiative, -n|Die Bürgerinitiative setzt sich für die Umwelt ein.|B2
o escritório|das Büro, -s|Mein Büro ist im Zentrum.|A1
o ônibus|der Bus, -se|Ich fahre mit dem Bus zur Arbeit.|A1
a multa (de trânsito);|das Bußgeld, -er|Ich habe ein Bußgeld bekommen.|B2
a manteiga|die Butter (kein Pl.)|Ich esse Brot mit Butter.|A1
o CO2 (dióxido de carbono);|das CO2 (das Kohlendioxid, -e)|Der CO2-Ausstoß ist zu hoch.|B1
a emissão de CO2|der CO2-Ausstoß (fast nie Plural)|Der CO2-Ausstoß muss reduziert werden.|B2
o teor de CO2|der CO2-Gehalt, -e|Der CO2-Gehalt in der Atmosphäre steigt.|B2
o creme|die Creme, -s|Ich benutze eine Gesichtscreme.|B1
a dama|die Dame, -n|Die Dame am Schalter ist sehr freundlich.|B2
o empréstimo|das Darlehen, -|Ich habe ein Darlehen bei der Bank aufgenommen.|B2
o arquivo|die Datei, -n|Ich habe die Datei gespeichert.|B2
os dados|die Daten (Plural)|Die Daten sind sehr wichtig.|B1
a rede de dados|das Datennetz, -e|Das Datennetz ist sehr schnell.|B2
a duração|die Dauer (kein Plural)|Die Dauer des Fluges beträgt zwei Stunden.|B2
o cobertor, o teto|die Decke, -n|Die Decke ist warm.|B1
a tampa|der Deckel, -|Der Deckel der Flasche ist weg.|B1
o dialeto|der Dialekt, -e|Er spricht einen bayerischen Dialekt.|A2
o diesel|der Diesel, -|Mein Auto fährt mit Diesel.|B2
a coisa|das Ding, -e|Das ist ein nützliches Ding.|B1
o diretor|der Direktor, -en|Der Direktor der Schule ist neu.|A2
a discoteca|die Disco, -s (die Discothek, -en)|Wir gehen am Wochenende in die Disco.|A1
a discussão|die Diskussion, -en|Die Diskussion war sehr interessant.|A1
o doutor|der Doktor, -en|Der Doktor kommt gleich.|A2
o documento|das Dokument, -e|Bitte senden Sie mir das Dokument.|A2
o trovão|der Donner, -|Ich höre Donner am Himmel.|B1
dobro, duplicado (usado como numeral/adjetivo);|doppelt|Ich brauche die doppelte Menge.|B1
a droga|die Droge, -n|Drogen sind gefährlich.|B1
a drogaria|die Drogerie, -n|Ich kaufe Seife in der Drogerie.|B1
o consumo de drogas|der Drogenkonsum (kein Pl.)|Der Drogenkonsum ist ein Problem.|B1
burro/a|dumm|Das ist eine dumme Idee.|A2
escuro/a|dunkel|Es ist schon dunkel.|A2
a sede|der Durst (kein Plural)|Ich habe großen Durst.|B1
sedento/a|durstig|Ich bin durstig.|B1
a média|der Durchschnitt, -e|Der Durchschnitt liegt bei 1,5.|B2
o marido|der Ehemann, -er|Mein Ehemann arbeitet viel.|B1
a esposa|die Ehefrau, -en|Meine Ehefrau ist sehr lieb.|B1
o casal|das Ehepaar, -e|Das Ehepaar ist glücklich verheiratet.|B1
o casamento (instituição);|die Ehe, -n|Die Ehe ist eine wichtige Institution.|B1
as características|die Eigenschaften (Plural)|Sie hat viele gute Eigenschaften.|B1
o apartamento próprio|die Eigentumswohnung, -en|Wir haben eine Eigentumswohnung gekauft.|B1
o balde|der Eimer, -|Ich brauche einen Eimer Wasser.|B1
o arrombamento, o assalto|das Einbruch, -e|Es gab einen Einbruch in der Nacht.|B2
a uniformidade, a coerência|die Einheitlichkeit, -en|Die Einheitlichkeit der Regeln ist wichtig.|B2
o habitante|der Einwohner, -|Die Stadt hat viele Einwohner.|B1
o registro de moradores|das Einwohnermeldeamt, -er|Ich muss zum Einwohnermeldeamt gehen.|B2
a renda|das Einkommen, -|Sein Einkommen ist hoch.|B1
a entrada (no país);|die Einreise, -n|Die Einreisebestimmungen sind streng.|B1
o convite|die Einladung, -en|Danke für die Einladung!|A1
a imigração|die Einwanderung, -en|Die Einwanderung hat zugenommen.|B1
o uso, a intervenção, o empenho|der Einsatz, -e|Der Einsatz der Feuerwehr war beeindruckend.|B2
a renda|das Einkommen, -|Sein Einkommen ist hoch.|B1
o balde|der Eimer, -|Ich brauche einen Eimer Wasser.|B1
a ferrovia, o trem|die Eisenbahn, -en|Ich fahre gern mit der Eisenbahn.|B2
a eletricidade|die Elektrizität, -en|Elektrizität ist wichtig für das tägliche Leben.|B1
o motor elétrico|der Elektromotor, -en|Das Auto hat einen Elektromotor.|B1
a licença parental|die Elternzeit, -en|Er nimmt Elternzeit für sein Baby.|B2
o destinatário, o receptor|der Empfänger, -|Wer ist der Empfänger des Pakets?|B1
a recomendação|die Empfehlung, -en|Ich habe eine Empfehlung von meinem Arzt bekommen.|B1
a terminação (gramatical);|die Endung, -en|Die Endung des Verbs ist -en.|B1
a estação final|die Endstation, -en|Das ist die Endstation dieser Linie.|B1
o pato|die Ente, -n|Die Ente schwimmt auf dem See.|B1
a demissão, a dispensa|die Entlassung, -en|Die Entlassung war unerwartet.|B1
a desculpa|die Entschuldigung, -en|Ich bitte um Entschuldigung.|B1
o desenvolvimento|die Entwicklung, -en|Die Entwicklung der Technik ist schnell.|B1
a Terra, o solo|die Erde, -n|Die Erde ist ein Planet.|B1
a atmosfera terrestre|die Erdatmosphäre, -n|Die Erdatmosphäre schützt uns.|B1
a entrada (no país);|die Einreise, -n|Die Einreisebestimmungen sind streng.|B1
o convite|die Einladung, -en|Danke für die Einladung!|A1
a imigração|die Einwanderung, -en|Die Einwanderung hat zugenommen.|B1
o uso, a intervenção, o empenho|der Einsatz, -e|Der Einsatz der Feuerwehr war beeindruckend.|B2
a renda|das Einkommen, -|Sein Einkommen ist hoch.|B1
o balde|der Eimer, -|Ich brauche einen Eimer Wasser.|B1
a ferrovia, o trem|die Eisenbahn, -en|Ich fahre gern mit der Eisenbahn.|B2
a eletricidade|die Elektrizität, -en|Elektrizität ist wichtig für das tägliche Leben.|B1
o motor elétrico|der Elektromotor, -en|Das Auto hat einen Elektromotor.|B1
a licença parental|die Elternzeit, -en|Er nimmt Elternzeit für sein Baby.|B2
o destinatário, o receptor|der Empfänger, -|Wer ist der Empfänger des Pakets?|B1
a recomendação|die Empfehlung, -en|Ich habe eine Empfehlung von meinem Arzt bekommen.|B1
a terminação (gramatical);|die Endung, -en|Die Endung des Verbs ist -en.|B1
a estação final|die Endstation, -en|Das ist die Endstation dieser Linie.|B1
o pato|die Ente, -n|Die Ente schwimmt auf dem See.|B1
a demissão, a dispensa|die Entlassung, -en|Die Entlassung war unerwartet.|B1
a desculpa|die Entschuldigung, -en|Ich bitte um Entschuldigung.|B1
o desenvolvimento|die Entwicklung, -en|Die Entwicklung der Technik ist schnell.|B1
a Terra, o solo|die Erde, -n|Die Erde ist ein Planet.|B1
a atmosfera terrestre|die Erdatmosphäre, -n|Die Erdatmosphäre schützt uns.|B1
a balsa|die Fähre, -n|Wir fahren mit der Fähre über den See.|B2
a família|die Familie, -n|Meine Familie ist klein.|A1
o estado civil|der Familienstand (kein Plural)|Bitte geben Sie Ihren Familienstand an.|B1
a cor|die Farbe, -n|Welche Farbe magst du?|A2
o fax|das Fax, -e|Ich habe ein Fax bekommen.|A2
o aparelho de fax|das Faxgerät, -e|Das Faxgerät ist kaputt.|A2
a pena|die Feder, -n|Die Feder ist leicht.|B2
a festa, a celebração|die Feier, -n|Die Feier war sehr schön.|A2
o fim do expediente|der Feierabend (meist kein Plural)|Ich freue mich auf den Feierabend.|B2
o feriado|der Feiertag, -e|Morgen ist ein Feiertag.|A2
o inimigo|der Feind, -e|Er hat viele Feinde.|B1
o campo|das Feld, -er|Die Kühe grasen auf dem Feld.|B1
a janela|das Fenster, -|Bitte schließ das Fenster.|A1
as férias|die Ferien (Pl.)|Ich fahre in den Ferien weg.|A2
a televisão|der Fernseher, -|Der Fernseher ist neu.|A1
a televisão (programa, meio de comunicação)|das Fernsehen (kein Plural)|Ich schaue gern Fernsehen.|A1
o festival|das Festival, -s|Das Festival findet im Sommer statt.|A2
a caneta hidrográfica, o marcador|der Filzstift, -e|Ich brauche einen Filzstift.|B2
o filme|der Film, -e|Ich möchte einen Film sehen.|A1
o filtro|der Filter, -|Der Filter muss gewechselt werden.|B2
as finanças|die Finanzen (immer Plural!)|Ich muss meine Finanzen besser verwalten.|B1
o financiamento|die Finanzierung, -en|Die Finanzierung des Projekts ist gesichert.|B1
o dedo|der Finger, -|Ich habe mir den Finger verletzt.|A2
a empresa|die Firma, die Firmen|Ich arbeite für eine große Firma.|A2
a forma física|die Fitness (kein Pl.)|Sport ist gut für die Fitness.|A2
a garrafa|die Flasche, -n|Bitte gib mir die Flasche Wasser.|A1
a carne|das Fleisch (kein Pl.)|Ich esse gern Fleisch.|A1
o avião (coloquial)|der Flieger, -|Der Flieger landet gleich.|A2
o voo|der Flug, -e|Mein Flug geht nach Berlin.|A1
o aeroporto|der Flughafen, -|Wir fahren zum Flughafen.|A1
o avião|das Flugzeug, -e|Das Flugzeug fliegt hoch.|A1
o hipopótamo|die Flusspferd, -e|Das Flusspferd lebt in Afrika.|B1
o rio|der Fluss, -e|Der Fluss ist sehr lang.|A2
o fomento, o apoio|die Förderung, -en|Die Förderung der Bildung ist wichtig.|B1
a consequência, o episódio|die Folge, -n|Das ist die Folge deiner Entscheidung.|B1
o formulário|das Formular, -e|Bitte füllen Sie das Formular aus.|A1
a pesquisa|die Forschung, -en|Die Forschung ist sehr wichtig.|B1
a foto|das Foto, -s|Ich zeige dir meine Fotos.|A1
o fotógrafo|der Fotograf, -en|Der Fotograf macht schöne Bilder.|A1
a pergunta|die Frage, -n|Ich habe eine Frage.|A1
a liberdade|die Freiheit, -en|Wir kämpfen für die Freiheit.|B1
a língua estrangeira|die Fremdsprache, -n|Ich lerne eine Fremdsprache.|A2
a palavra estrangeira|das Fremdwort, -er|Viele Fremdwörter sind im Deutschen gebräuchlich.|B1
o amigo / a amiga, o namorado / a namorada|der Freund, -e / die Freundin, -nen|Das ist mein Freund Peter.|A1
a amizade|die Freundschaft, -en|Unsere Freundschaft ist sehr wichtig.|A2
a paz|der Friede, -n|Wir wünschen uns Frieden.|B1
fresco/a|frisch|Das Brot ist frisch.|A1
o cabeleireiro / a cabeleireira|der Friseur, -e / die Friseuse, -n|Ich gehe zum Friseur.|A1
a primavera|der Frühling, -e|Im Frühling blühen die Blumen.|A2
o café da manhã|das Frühstück, -e|Ich esse mein Frühstück um 7 Uhr.|A1
a fruta|die Frucht, -e|Früchte sind gesund.|B1
a caneta-tinteiro|der Füller, -|Ich schreibe mit einem Füller.|B1
o pé|der Fuß, -e|Mir tut der Fuß weh.|A2
o futebol|der Fußball, -e|Ich spiele gern Fußball.|A1
a zona de pedestres|die Fußgängerzone, -n|Die Fußgängerzone ist sehr belebt.|A2
a mensagem de rádio|der Funkspruch, -e|Der Funkspruch kam über Funk.|B2
a função|die Funktion, -en|Die Funktion des Geräts ist einfach.|A2
o achados e perdidos|das Fundbüro, -s|Ich habe mein Handy im Fundbüro abgegeben.|B1
o garfo|die Gabel, -n|Wo ist meine Gabel?|A2
a galeria|die Galerie, -n|Wir besuchen eine Kunstgalerie.|B1
o corredor, a marcha (de carro);|der Gang, -e|Der Gang ist lang und dunkel. |B1
o ganso|die Gans, -e|Die Gans schwimmt auf dem Teich. |B1
o guarda-roupa, o vestiário|die Garderobe, -n|Hängen Sie Ihren Mantel in die Garderobe. |B1
a garagem|die Garage, -n|Mein Auto steht in der Garage. |A2
o convidado|der Gast, -e|Wir haben Gäste heute Abend. |A2
o quarto de hóspedes|das Gästezimmer, -|Wir haben ein Gästezimmer für Besucher. |B1
o restaurante, a taverna|die Gaststätte, -n|Die Gaststätte serviert traditionelle Gerichte. |B1
a pousada com restaurante|die Gastwirtschaft, -en|Die Gastwirtschaft ist sehr gemütlich. |B1
o cônjuge (esposo/esposa);|der Gatte, -n / die Gattin, -nen|Ihr Gatte ist sehr freundlich. |B2
o edifício|das Gebäude, -|Das Gebäude ist sehr alt. |B1
a cadeia de montanhas|das Gebirge, -|Die Alpen sind hohe Berge. |A2
o manual de instruções|die Gebrauchsanweisung, -en|Bitte lesen Sie die Gebrauchsanweisung. |B1
o poema|das Gedicht, -e|Sie schreibt gerne Gedichte. |B2
o pensamento, a ideia|der Gedanke, -n|Ich hatte einen guten Gedanken. |B1
a ave (para consumo);|das Geflügel (kein Pl.)|Ich esse gern Geflügel. |B2
o sentimento|das Gefühl, -e|Ich habe ein gutes Gefühl. |A2
o adversário|der Gegner, -|Unser Gegner war sehr stark. |B1
a região, os arredores|die Gegend, -en|Die Gegend ist sehr schön. |B1
o salário|das Gehalt, -er|Mein Gehalt ist gut. |A2
o município, a comunidade|die Gemeinde, -n|Die Gemeinde hat viele Einwohner. |B2
a característica em comum, a afinidade|die Gemeinsamkeit, -en|Wir haben viele Gemeinsamkeiten.|B1
a comunidade|die Gemeinschaft, -en|Wir sind eine große Gemeinschaft.|B1
a pintura, o quadro|das Gemälde, -|Das Gemälde ist sehr alt.|B2
o legume, a verdura|das Gemüse (kein Pl.)|Ich esse gern Gemüse.|A1
a permissão, a autorização|die Genehmigung, -en|Ich habe die Genehmigung erhalten.|B2
suficiente|genug|Ich habe genug Geld.|A2
a geografia|die Geographie (kein Plural)|Geographie ist ein interessantes Fach.|B1
a bagagem|das Gepäck (kein Pl.)|Ich habe viel Gepäck.|A2
a retirada de bagagem|die Gepäckannahme, -n|Bitte gehen Sie zur Gepäckannahme.|B1
o guarda-volumes|die Gepäckaufbewahrung, -en|Ich lasse mein Gepäck in der Gepäckaufbewahrung.|B2
justo/a|gerecht|Das ist eine gerechte Lösung.|B1
a justiça|die Gerechtigkeit (kein Plural)|Gerechtigkeit ist wichtig für die Gesellschaft.|B1
o tribunal, o prato (culinário);|das Gericht, -e|Das Gericht hat entschieden.|B1
com prazer|gern|Ich helfe dir gern.|A1
o ruído|das Geräusch, -e|Ich höre ein Geräusch.|B1
a sociedade, a companhia|die Gesellschaft, -en|Die Gesellschaft verändert sich.|B1
o presente|das Geschenk, -e|Ich habe ein Geschenk bekommen.|A2
a história|die Geschichte, -n|Ich lese gern Geschichten.|B1
a louça|das Geschirr (kein Pl.)|Ich muss das Geschirr spülen.|B1
a máquina de lavar louça|der Geschirrspüler, -|Der Geschirrspüler ist kaputt.|A2
o pano de prato|das Geschirrtuch, -er|Ich brauche ein Geschirrtuch zum Abtrocknen.|B1
o sexo, o gênero|das Geschlecht, -er|Bitte geben Sie Ihr Geschlecht an.|B1
os irmãos e irmãs|die Geschwister (nur Plural)|Ich habe drei Geschwister.|B1
o rosto|das Gesicht, -er|Sie hat ein schönes Gesicht.|B1
a lei|das Gesetz, -e|Das ist ein neues Gesetz.|B1
o acontecimento|das Geschehen, -|Das ist ein wichtiges Geschehen.|B1
o acontecimento, o incidente|das Geschehnis, -se|Das war ein unerwartetes Geschehnis.|B2
o sistema de saúde|das Gesundheitswesen (kein Plural)|Das Gesundheitswesen ist sehr komplex.|B2
a bebida|das Getränk, -e|Was möchten Sie trinken?|A1
o corpo d'água (rio, lago, etc.);|das Gewässer, -|In diesem Gewässer leben viele Fische.|B2
o peso|das Gewicht, -e|Sein Gewicht ist stabil.|B1
o lucro, o ganho|der Gewinn, -e|Die Firma hat einen hohen Gewinn gemacht.|B1
a tempestade|das Gewitter, -|Es gab ein starkes Gewitter.|B1
o tempero|das Gewürz, -e|Ich brauche Gewürze zum Kochen.|B1
o hábito|die Gewohnheit, -en|Ich habe viele gute Gewohnheiten.|B1
o veneno|das Gift, -e|Das ist Gift.|B1
a substância tóxica|der Giftstoff, -e|Dieser Stoff ist ein Giftstoff.|B2
o cume, a cúpula (reunião);|der Gipfel, -|Wir haben den Gipfel erreicht.|B2
a lâmpada (bulbo);|die Glühbirne, -n|Die Glühbirne ist kaputt.|B2
o gelo negro|das Glatteis (kein Plural)|Vorsicht, es gibt Glatteis auf der Straße!|B2
o globo terrestre|der Globus, die Globen (auch Globusse)|Wir haben einen großen Globus im Wohnzimmer.|B1
o serviço religioso, o culto|der Gottesdienst, -e|Wir gehen jeden Sonntag zum Gottesdienst.|B2
o gráfico, a imagem gráfica|die Grafik, -en|Die Grafik zeigt die Entwicklung der Zahlen.|B1
a sêmola|der Grieß (fast nie Pl.)|Ich koche Grießbrei zum Frühstück.|B2
a churrasqueira, o grill|der Grill, -s|Wir machen ein Grillfest im Garten.|A2
o "groschen" (antiga moeda), o dinheiro (coloquial);|der Groschen, -|Hast du einen Groschen für mich?|C1
a família grande|die Großfamilie, -n|In vielen Kulturen leben Großfamilien zusammen.|B1
a Lei Fundamental (constituição alemã);|das Grundgesetz, -e|Das Grundgesetz schützt unsere Rechte.|B1
o motivo, a razão|der Grund, -e|Nenn mir einen guten Grund!|B1
a base, o fundamento|die Grundlage, -n|Das ist die Grundlage unserer Zusammenarbeit.|B2
a água subterrânea|das Grundwasser (kein Plural)|Das Grundwasser ist sehr wichtig für die Trinkwasserversorgung.|B1
o grupo|die Gruppe, -n|Wir arbeiten in einer Gruppe.|A1
o cinto (de segurança);|der Gurt, -e|Bitte legen Sie den Gurt an.|B2
o ginásio (escola secundária);|das Gymnasium, die Gymnasien|Er besucht ein Gymnasium.|A2
a ginástica|die Gymnastik, -en|Ich mache gern Gymnastik.|A1
o cabelo|das Haar, -e|Sie hat lange blonde Haare.|A1
o porto|der Hafen, -e|Der Hafen ist sehr groß.|B1
a parada, o apoio|der Halt, -e|Dieser Bus hat hier keinen Halt.|B1
a parada (de ônibus, bonde);|die Haltestelle, -n|Die Haltestelle ist gleich um die Ecke.|A2
a meia-pensão|die Halbpension, -en|Wir haben Halbpension gebucht.|B1
a toalha de mão|der Handtuch, -er|Ich brauche ein Handtuch.|A2
o artesanato, o ofício|das Handwerk (kein Pl.)|Das Handwerk hat goldenen Boden.|B2
o artesão, o profissional manual|der Handwerker, -|Der Handwerker repariert das Dach.|B1
o celular|das Handy, -s|Ich habe ein neues Handy.|A2
a lebre|der Hase, -n|Der Hase rennt schnell.|B1
o orçamento doméstico, a casa|der Haushalt, -e|Ich mache den Haushalt.|B2
a cabeça (formal, poético);|das Haupt, -er|Er hob sein Haupt.|B2
a estação central de trem|der Hauptbahnhof, -e|Wir treffen uns am Hauptbahnhof.|A2
a entrada principal|der Haupteingang, -e|Der Haupteingang ist geschlossen.|B2
o papel principal|die Hauptrolle, -n|Sie spielt die Hauptrolle im Film.|B2
a escola secundária (tipo específico na Alemanha)|die Hauptschule, -n|Er geht auf die Hauptschule.|A2
a rua principal|die Hauptstraße, -n|Die Hauptstraße ist sehr befahren.|A2
o animal de estimação|das Haustier, -e|Ich habe ein Haustier.|B1
a pátria, o lar|die Heimat, -en|Meine Heimat ist Deutschland.|B1
a saudade de casa|das Heimweh (kein Plural)|Ich habe Heimweh.|B1
quente|heiß|Der Kaffee ist heiß.|A1
o aquecimento|die Heizung, -en|Die Heizung ist kaputt.|A2
claro/a, brilhante|hell|Das Zimmer ist sehr hell.|A2
a claridade, o brilho|die Helligkeit, -en|Die Helligkeit des Bildschirms ist zu hoch.|B2
a camisa|das Hemd, -en|Ich trage ein Hemd.|A2
o fogão|der Herd, -e|Der Herd ist neu.|A1
o bico do fogão|die Herdplatte, -n|Die Herdplatte ist heiß.|A2
o arenque|der Hering, -e|Ich esse gern Hering.|B2
o senhor|der Herr, -en|Guten Tag, Herr Müller.|A1
o outono|der Herbst, -e|Im Herbst fallen die Blätter.|A1
a ajuda|die Hilfe, -n|Danke für deine Hilfe.|B1
o céu|der Himmel, -|Der Himmel ist blau.|B1
o ponto cardeal|die Himmelsrichtung, -en|Norden ist eine Himmelsrichtung.|B1
a porta dos fundos|die Hintertür, -en|Der Einbrecher kam durch die Hintertür.|B2
o aspecto, o ponto de vista|die Hinsicht (kein Plural)|In dieser Hinsicht stimme ich dir zu.|B2
